dish_code,dish_name,mgroup_code,dish_price,dish_gram,dish_descr
1,Сунде,3,350,150,"Домашняя свиная кровяная колбаса, приготовленная по традиционному корейскому рецепту"
2,Сахалинский лопух,4,200,100,Сахалинский лопух по-корейски
3,Соевая спаржа,4,120,100,Соевая спаржа по-корейски
4,Хе из палтуса,4,350,100,Острая закуска из маринованного сырого палтуса со специями
5,Хемультан,5,680,700,"Cуп из морепродуктов: палтус, креветка,кальмар, морской коктейль, овощи"
6,Миекгук,5,490,700,Корейский традиционный суп из морской капусты на говяжьем бульоне
7,Мисо рамен,6,490,500,"Пшеничная лапша, в бульоне мисо, соевыми проростками, жаренными со свиным фаршем."
8,Чапче,6,530,400,"Крахмальная лапша, жаренная с овощами и свининой"
9,Бульгоги,6,620,500,"Маринованная говядина, обжаренная с грибами на огне. Подается с листьями салата и овощами"
10,Токпокки с говядиной,6,600,600,"Рисовые брусочки, жаренные с говядиной, паприкой, луком и соевым соусом. Подается с рисом, бульоном и 2-мя закусками."
11,Тофу жаренный,6,370,200,"Соевый сыр (тофу), обжаренный в льезоне"
12,Чоксу покым,6,630,600,"Щупальца кальмара, тушенные с рисовыми клецками, свежей капустой, паприкой и кусочками свинины"
13,Самгёпсаль,6,790,450,"Свиная грудинка, обжаренная с специальном соусе. Подается на горячем листе"
14,Самгёпсаль гриль,7,900,250,"Свежая Свиная грудинка для жарки на гриле. Подается с листьями салата, грибами, рисом и закусками"
15,Креветки гриль,7,641,140,"Креветки, маринованные в чесночно-перечном соусе/устричном соус/остром чили-соусе обжаренные на гриле"
16,Пусан Согоги,7,1085,250,"Вырезка из премиальной мраморной говядины, маринованная в специальном соусе. Подается с листьями салата, грибами, рисом и закусками."
17,"Рис, жаренный с яйцом",8,200,250,Жареный рис с яйцом и овощами по-корейски
18,Тайяки,9,150,190,Печенье в форме рыбки со сладкой начинкой из красной фасоли
